Asset_Management.Animation_Curves.animcurve_channel_evaluate	animcurve_channel_evaluate	function	animcurve_channel_evaluate(channel_struct, posx);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_channel_evaluate.htm
Asset_Management.Animation_Curves.animcurve_channel_new	animcurve_channel_new	function	animcurve_channel_new();	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_channel_new.htm
Asset_Management.Animation_Curves.animcurve_create	animcurve_create	function	animcurve_create();	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_create.htm
Asset_Management.Animation_Curves.animcurve_destroy	animcurve_destroy	function	animcurve_destroy(curve_struct);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_destroy.htm
Asset_Management.Animation_Curves.animcurve_exists	animcurve_exists	function	animcurve_exists(curve_struct_or_id);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_exists.htm
Asset_Management.Animation_Curves.animcurve_get	animcurve_get	function	animcurve_get(curve_id);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_get.htm
Asset_Management.Animation_Curves.animcurve_get_channel	animcurve_get_channel	function	animcurve_get_channel(curve_struct_or_id, channel_name_or_index);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_get_channel.htm
Asset_Management.Animation_Curves.animcurve_get_channel_index	animcurve_get_channel_index	function	animcurve_get_channel_index(curve_struct_or_id, channel_name);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_get_channel_index.htm
Asset_Management.Animation_Curves.animcurve_point_new	animcurve_point_new	function	animcurve_point_new();	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_point_new.htm
Asset_Management.Animation_Curves.animcurvetype_catmullrom	animcurvetype_catmullrom	constant	animcurvetype_catmullrom	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Animation_Curves/animcurve_channel_new.htm
