Function	Ease of port	Library	Could No-op and game would run?	Could shim and game would run?
GG2DLL_compute_MD5	replace			
GG2DLL_embed_PNG_leveldata				
GG2DLL_extract_PNG_leveldata				
abs	map to C#	Math		
action_splash_web			TRUE	
append_file_to_buffer		Net		
arcsin	map to C#	Math		
arctan	map to C#	Math		
background_add				
background_delete				
background_get_height				
background_get_width				
background_replace				
buffer_bytes_left		DataStructures		
buffer_clear		DataStructures		
buffer_create		DataStructures		
buffer_destroy		DataStructures		
buffer_set_readpos		DataStructures		
buffer_size		DataStructures		
ceil		Math		
choose		Math		
chr		String		
clipboard_get_text		Windows		
collision_circle				
collision_line				
collision_point				
collision_rectangle				
cos		Math		
date_current_date		DateTime		TRUE
date_current_datetime		DateTime		TRUE
date_get_day		DateTime		TRUE
date_get_hour		DateTime		TRUE
date_get_minute		DateTime		TRUE
date_get_month		DateTime		TRUE
date_get_second		DateTime		TRUE
date_get_year		DateTime		TRUE
degtorad		Math		
directory_create	AI generates C# equivalent	Filesystem		
directory_exists	AI generates C# equivalent	Filesystem		
distance_to_object				
distance_to_point				
draw_background			TRUE	
draw_background_ext			TRUE	
draw_circle_color			TRUE	
draw_get_alpha			TRUE	
draw_healthbar			TRUE	
draw_line_width_color			TRUE	
draw_rectangle			TRUE	
draw_rectangle_color			TRUE	
draw_set_alpha			TRUE	
draw_set_color			TRUE	
draw_set_font			TRUE	
draw_set_halign			TRUE	
draw_set_valign			TRUE	
draw_sprite				
draw_sprite_ext				
draw_sprite_part_ext				
draw_sprite_stretched_ext				
draw_text				
draw_text_color				
draw_text_ext				
draw_text_ext_color				
draw_text_transformed				
draw_text_transformed_color				
ds_list_add	AI generates C# equivalent	DataStructures		
ds_list_clear	AI generates C# equivalent	DataStructures		
ds_list_copy	AI generates C# equivalent	DataStructures		
ds_list_create	AI generates C# equivalent	DataStructures		
ds_list_delete	AI generates C# equivalent	DataStructures		
ds_list_destroy	AI generates C# equivalent	DataStructures		
ds_list_empty	AI generates C# equivalent	DataStructures		
ds_list_find_index	AI generates C# equivalent	DataStructures		
ds_list_find_value	AI generates C# equivalent	DataStructures		
ds_list_insert	AI generates C# equivalent	DataStructures		
ds_list_replace	AI generates C# equivalent	DataStructures		
ds_list_shuffle	AI generates C# equivalent	DataStructures		
ds_list_size	AI generates C# equivalent	DataStructures		
ds_list_sort	AI generates C# equivalent	DataStructures		
ds_map_add	AI generates C# equivalent	DataStructures		
ds_map_clear	AI generates C# equivalent	DataStructures		
ds_map_create	AI generates C# equivalent	DataStructures		
ds_map_delete	AI generates C# equivalent	DataStructures		
ds_map_destroy	AI generates C# equivalent	DataStructures		
ds_map_exists	AI generates C# equivalent	DataStructures		
ds_map_find_first	AI generates C# equivalent	DataStructures		
ds_map_find_next	AI generates C# equivalent	DataStructures		
ds_map_find_value	AI generates C# equivalent	DataStructures		
ds_map_replace	AI generates C# equivalent	DataStructures		
ds_map_size	AI generates C# equivalent	DataStructures		
ds_priority_add	AI generates C# equivalent	DataStructures		
ds_priority_create	AI generates C# equivalent	DataStructures		
ds_priority_delete_max	AI generates C# equivalent	DataStructures		
ds_priority_delete_min	AI generates C# equivalent	DataStructures		
ds_priority_destroy	AI generates C# equivalent	DataStructures		
ds_priority_empty	AI generates C# equivalent	DataStructures		
ds_priority_size	AI generates C# equivalent	DataStructures		
ds_queue_create	AI generates C# equivalent	DataStructures		
ds_queue_dequeue	AI generates C# equivalent	DataStructures		
ds_queue_destroy	AI generates C# equivalent	DataStructures		
ds_queue_empty	AI generates C# equivalent	DataStructures		
ds_queue_enqueue	AI generates C# equivalent	DataStructures		
ds_queue_head	AI generates C# equivalent	DataStructures		
ds_queue_size	AI generates C# equivalent	DataStructures		
effect_create_above		Particles	TRUE	
effect_create_below		Particles	TRUE	
event_inherited	Map to C# language feature			
event_perform				
event_user				
execute_file	N/A			
execute_program	N/A			
execute_string	N/A			
file_bin_close	AI generates C# equivalent	Filesystem		
file_bin_open	AI generates C# equivalent	Filesystem		
file_bin_position	AI generates C# equivalent	Filesystem		
file_bin_read_byte	AI generates C# equivalent	Filesystem		
file_bin_size	AI generates C# equivalent	Filesystem		
file_bin_write_byte	AI generates C# equivalent	Filesystem		
file_copy	AI generates C# equivalent	Filesystem		
file_delete	AI generates C# equivalent	Filesystem		
file_exists	AI generates C# equivalent	Filesystem		
file_find_close	AI generates C# equivalent	Filesystem		
file_find_first	AI generates C# equivalent	Filesystem		
file_find_next	AI generates C# equivalent	Filesystem		
file_rename	AI generates C# equivalent	Filesystem		
file_text_close	AI generates C# equivalent	Filesystem		
file_text_eof	AI generates C# equivalent	Filesystem		
file_text_open_read	AI generates C# equivalent	Filesystem		
file_text_open_write	AI generates C# equivalent	Filesystem		
file_text_read_string	AI generates C# equivalent	Filesystem		
file_text_readln	AI generates C# equivalent	Filesystem		
file_text_write_string	AI generates C# equivalent	Filesystem		
floor		Math		
font_add_sprite				
game_end				
get_integer		WindowsGUI		
get_open_filename		WindowsGUI		
get_save_filename		WindowsGUI		
get_string		WindowsGUI		
ini_close		IniFile		
ini_key_delete		IniFile		
ini_open		IniFile		
ini_read_real		IniFile		
ini_read_string		IniFile		
ini_write_real		IniFile		
ini_write_string		IniFile		
instance_create				
instance_destroy				
instance_exists				
instance_find				
instance_nearest				
instance_number				
io_clear		KeyboardMouse		
io_handle		KeyboardMouse		
ip_lookup_create		Net		
ip_lookup_destroy		Net		
